Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA120,MA20_above_MA120,MA20_cross_MA120,previous_MA20_above_MA120
2019-09-24,9729.3212890625,9804.3173828125,8370.8017578125,8620.56640625,8620.56640625,25002886689,10179.8748046875,10186.340083821615,False,True,True
2020-03-14,5573.07763671875,5625.2265625,5125.0693359375,5200.3662109375,5200.3662109375,36154506008,8177.153051757812,8254.86298828125,False,True,True
2021-05-21,40596.94921875,42172.171875,33616.453125,37304.69140625,37304.69140625,82051616861,50572.1296875,50957.49021809896,False,True,True
2021-12-12,49354.85546875,50724.8671875,48725.8515625,50098.3359375,50098.3359375,21939223599,53180.4345703125,53459.56578776042,False,True,True
2022-04-22,40525.86328125,40777.7578125,39315.41796875,39740.3203125,39740.3203125,28011716745,41901.877734375,41977.38336588542,False,True,True
2023-06-15,25121.673828125,25735.30859375,24797.16796875,25576.39453125,25576.39453125,15837384409,26626.64140625,26690.878287760417,False,True,True
2023-08-22,26130.748046875,26135.5078125,25520.728515625,26031.65625,26031.65625,14503820706,28340.33837890625,28473.76787109375,False,True,True
2024-06-25,60266.28125,62258.26171875,60239.75,61804.640625,61804.640625,29201215431,66238.408984375,66249.77916666666,False,True,True
2024-08-06,53991.34765625,57059.91796875,53973.2734375,56034.31640625,56034.31640625,49300484106,64394.0765625,64432.34166666667,False,True,True
